strategy,symbol,n_trades,total_pnl_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor
MACD_Momentum,SHIB_USDT,3430,3085.58,36.0,0.547,0.326,0.354,-15.73,1.06
MACD_Momentum,BNB_USDT,5739,3115.04,34.9,0.388,0.224,0.117,-27.82,1.04
Ensemble,LINK_USDT,6889,2688.22,42.5,0.355,0.173,0.08,-41.43,1.02
MACD_Momentum,ETH_USDT,5772,2272.13,34.4,0.319,0.188,0.122,-19.62,1.03
MACD_Momentum,DOGE_USDT,4701,3089.27,33.0,0.288,0.309,0.149,-26.97,1.04
Ensemble,BNB_USDT,7869,1776.31,41.7,0.251,0.106,0.053,-36.83,1.02
Ensemble,ATOM_USDT,6607,1268.45,41.9,0.216,0.117,0.041,-41.72,1.01
MACD_Momentum,ADA_USDT,5377,991.5,34.3,0.169,0.103,0.042,-28.25,1.01
Ensemble,SHIB_USDT,4730,633.18,43.2,0.166,0.068,0.068,-18.35,1.01
Ensemble,ADA_USDT,7389,164.71,42.1,0.07,0.033,0.005,-41.72,1.0
RSI_MeanReversion,HBAR_USDT,721,-28.84,53.7,0.069,0.007,-0.002,-28.73,1.0
RSI_MeanReversion,UNI_USDT,627,-98.84,49.4,0.037,0.008,-0.008,-21.77,1.0
Ensemble,HBAR_USDT,6376,-310.13,40.3,0.026,0.012,-0.015,-30.97,1.0
MACD_Momentum,SOL_USDT,3800,-674.6,36.0,-0.049,-0.029,-0.039,-31.28,0.99
MACD_Momentum,XRP_USDT,5519,-802.18,32.7,-0.059,-0.036,-0.036,-28.62,0.99
BB_Reversion,HBAR_USDT,2033,-1489.88,64.0,-0.092,-0.013,-0.071,-33.95,0.97
Ensemble,SOL_USDT,5175,-1027.02,43.1,-0.103,-0.047,-0.047,-39.99,0.99
BB_Reversion,SUI_USDT,951,-560.95,64.6,-0.13,-0.025,-0.083,-22.95,0.97
BB_Reversion,LTC_USDT,2573,-1271.34,63.4,-0.137,-0.025,-0.065,-24.7,0.97
BB_Reversion,ICP_USDT,1545,-1245.41,62.9,-0.172,-0.029,-0.078,-33.75,0.96
MACD_Momentum,LINK_USDT,5056,-1718.25,34.4,-0.189,-0.109,-0.065,-39.39,0.98
Ensemble,XRP_USDT,7552,-1994.82,39.9,-0.247,-0.113,-0.074,-37.19,0.97
MACD_Momentum,TRX_USDT,5310,-1861.97,33.0,-0.264,-0.156,-0.099,-26.01,0.96
Ensemble,DOT_USDT,5211,-1659.25,41.7,-0.267,-0.133,-0.084,-37.46,0.97
RSI_MeanReversion,LTC_USDT,924,-1753.38,51.7,-0.286,-0.041,-0.072,-31.44,0.92
MACD_Momentum,AVAX_USDT,3809,-1983.31,34.8,-0.296,-0.187,-0.156,-24.76,0.96
BB_Reversion,NEAR_USDT,1710,-2268.25,61.9,-0.326,-0.061,-0.125,-36.28,0.94
MACD_Momentum,UNI_USDT,3838,-2463.31,34.8,-0.371,-0.202,-0.134,-36.66,0.95
MACD_Momentum,ATOM_USDT,4763,-2637.68,34.7,-0.375,-0.241,-0.111,-38.48,0.96
BB_Reversion,DOT_USDT,1771,-2152.46,61.7,-0.379,-0.071,-0.149,-28.07,0.94
Ensemble,ETH_USDT,7863,-2901.59,41.6,-0.416,-0.188,-0.074,-52.2,0.96
Ensemble,AVAX_USDT,5167,-2672.57,41.1,-0.428,-0.214,-0.119,-45.37,0.96
RSI_MeanReversion,ATOM_USDT,772,-2310.88,49.1,-0.433,-0.064,-0.142,-25.94,0.89
BB_Reversion,SHIB_USDT,1519,-2468.28,63.9,-0.442,-0.067,-0.161,-34.54,0.89
RSI_MeanReversion,LINK_USDT,832,-2715.36,50.5,-0.475,-0.07,-0.127,-33.51,0.87
MACD_Momentum,DOT_USDT,3859,-2568.0,34.3,-0.486,-0.313,-0.158,-32.25,0.94
BB_Reversion,LINK_USDT,2214,-3498.37,61.7,-0.542,-0.1,-0.137,-41.8,0.91
RSI_MeanReversion,SUI_USDT,340,-1384.85,51.5,-0.554,-0.084,-0.189,-25.69,0.87
BB_Reversion,BNB_USDT,2617,-4024.89,62.9,-0.561,-0.09,-0.117,-50.25,0.89
Ensemble,LTC_USDT,7689,-3805.7,40.0,-0.566,-0.273,-0.103,-53.84,0.95
Ensemble,DOGE_USDT,6250,-4717.92,39.6,-0.585,-0.2,-0.181,-49.42,0.92
BB_Reversion,AVAX_USDT,1724,-3406.23,61.4,-0.605,-0.115,-0.162,-44.39,0.91
RSI_MeanReversion,XRP_USDT,885,-3574.76,51.9,-0.609,-0.069,-0.15,-35.9,0.82
Ensemble,UNI_USDT,5143,-3601.12,41.0,-0.615,-0.293,-0.14,-54.8,0.94
MACD_Momentum,BTC_USDT,5853,-3255.57,32.1,-0.634,-0.364,-0.133,-33.27,0.93
BB_Reversion,ATOM_USDT,2134,-3883.78,60.7,-0.636,-0.122,-0.172,-39.42,0.89
RSI_MeanReversion,ICP_USDT,503,-2822.55,48.7,-0.737,-0.102,-0.2,-32.33,0.82
BB_Reversion,ADA_USDT,2438,-4591.84,62.0,-0.747,-0.133,-0.158,-46.7,0.86
RSI_MeanReversion,SHIB_USDT,548,-3175.4,55.1,-0.761,-0.077,-0.198,-37.42,0.75
Ensemble,NEAR_USDT,5270,-4313.7,40.8,-0.775,-0.406,-0.183,-53.0,0.93
RSI_MeanReversion,ADA_USDT,889,-3956.87,51.4,-0.775,-0.109,-0.148,-41.08,0.8
MACD_Momentum,SUI_USDT,2084,-2340.5,33.4,-0.781,-0.534,-0.293,-29.15,0.9
RSI_MeanReversion,DOGE_USDT,716,-5394.22,53.2,-0.799,-0.072,-0.196,-54.96,0.67
MACD_Momentum,LTC_USDT,5821,-4836.49,32.5,-0.8,-0.493,-0.138,-55.21,0.92
BB_Reversion,DOGE_USDT,2063,-5658.16,63.8,-0.805,-0.11,-0.186,-61.91,0.8
