strategy,symbol,n_trades,total_pnl_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_GARCH Volatility Position Sizing,BNB_USDT,1043,10386.76,50.0,1.043,0.252,1.002,-8.76,1.34,B_New
A_RSI Mean Reversion,HBAR_USDT,88,1992.32,62.5,1.018,0.096,0.93,-3.01,2.38,A_Original
A_MACD Momentum,SHIB_USDT,2140,4992.1,35.0,0.988,0.658,1.024,-8.29,1.17,A_Original
B_MACD Centerline Cross + Divergence,DOGE_USDT,2730,9619.84,50.6,0.962,0.597,1.102,-9.43,1.25,B_New
A_Ensemble A (RSI+MACD+BB),SHIB_USDT,2604,3577.29,38.7,0.96,0.413,0.723,-8.78,1.13,A_Original
A_Bollinger Band Reversion,HBAR_USDT,893,3540.23,63.9,0.871,0.123,0.392,-12.02,1.19,A_Original
B_MACD Centerline Cross + Divergence,ICP_USDT,2048,3478.24,52.9,0.87,0.329,0.565,-10.95,1.13,B_New
B_VWAP Reversion,ICP_USDT,2151,3241.7,67.9,0.854,0.163,0.667,-8.72,1.11,B_New
B_MACD Centerline Cross + Divergence,HBAR_USDT,2752,7310.04,52.7,0.85,0.442,1.268,-6.85,1.19,B_New
B_GARCH Volatility Position Sizing,SOL_USDT,682,5321.24,49.4,0.849,0.197,0.55,-14.1,1.21,B_New
B_OFI Momentum,SHIB_USDT,1508,4034.17,42.0,0.843,0.314,0.734,-9.61,1.17,B_New
A_Bollinger Band Reversion,SHIB_USDT,658,2230.41,66.4,0.832,0.103,0.654,-6.32,1.22,A_Original
B_MACD Centerline Cross + Divergence,XRP_USDT,3250,5176.56,51.1,0.831,0.318,0.519,-10.33,1.15,B_New
B_Ichimoku Cloud,AVAX_USDT,1089,5805.4,41.5,0.828,0.301,0.804,-10.59,1.17,B_New
B_Donchian Breakout,SHIB_USDT,274,3567.71,47.1,0.823,0.194,1.059,-5.98,1.5,B_New
B_MACD Centerline Cross + Divergence,SOL_USDT,2287,3799.8,51.6,0.814,0.299,0.538,-10.77,1.12,B_New
B_MACD Centerline Cross + Divergence,BNB_USDT,3433,4666.03,51.6,0.798,0.273,0.48,-9.65,1.14,B_New
B_MACD Centerline Cross + Divergence,LINK_USDT,2954,5395.2,52.6,0.795,0.291,0.577,-10.58,1.13,B_New
B_GARCH Volatility Position Sizing,DOGE_USDT,759,8783.65,45.3,0.785,0.271,0.756,-12.81,1.31,B_New
A_Ensemble A (RSI+MACD+BB),BNB_USDT,4285,4101.82,39.3,0.774,0.335,0.296,-13.97,1.1,A_Original
B_MACD Centerline Cross + Divergence,ADA_USDT,3260,4882.95,52.5,0.761,0.22,0.388,-13.1,1.11,B_New
A_MACD Momentum,ETH_USDT,3587,4533.07,34.2,0.73,0.377,0.401,-10.95,1.1,A_Original
B_Ichimoku Cloud,DOGE_USDT,1355,8008.11,37.2,0.719,0.357,0.61,-14.78,1.19,B_New
B_Ichimoku Cloud,SHIB_USDT,980,3705.63,37.7,0.709,0.29,0.602,-10.87,1.15,B_New
