strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_Base RF Model,ETH_USDT,1605,10905.42,14436.78,3531.35,45.6,1.33,0.361,0.507,-17.44,1.25,B_New
B_Trend RF Model,SHIB_USDT,666,7166.4,7729.55,563.15,51.5,1.321,0.318,1.783,-6.41,1.44,B_New
B_Base RF Model,BNB_USDT,1387,10430.15,12856.49,2426.34,46.6,1.298,0.295,0.815,-10.77,1.33,B_New
B_Base RF Model,LINK_USDT,1079,9056.32,11948.56,2892.24,49.6,1.139,0.264,0.597,-15.47,1.24,B_New
B_Base RF Model,SOL_USDT,974,6715.86,9090.13,2374.27,47.1,1.133,0.301,0.534,-17.56,1.22,B_New
B_GARCH Volatility Position Sizing,BNB_USDT,1045,10514.97,12767.02,2252.05,50.1,1.045,0.254,1.022,-8.65,1.33,B_New
B_MACD Centerline Cross + Divergence,DOGE_USDT,2746,8652.57,12532.21,3879.64,47.3,1.014,0.558,1.036,-9.21,1.22,B_New
B_Trend RF Model,DOGE_USDT,655,9281.06,11106.69,1825.64,49.9,1.009,0.298,1.87,-5.39,1.46,B_New
B_Base RF Model,AVAX_USDT,847,5562.87,7830.9,2268.04,48.6,0.966,0.242,0.489,-16.74,1.21,B_New
B_Base RF Model,TRX_USDT,1041,5551.34,8240.15,2688.81,48.8,0.948,0.197,0.51,-11.28,1.27,B_New
B_Base RF Model,HBAR_USDT,827,7037.26,8986.9,1949.64,46.9,0.93,0.224,0.882,-9.53,1.27,B_New
A_RSI Mean Reversion,HBAR_USDT,109,1852.77,2074.96,222.2,61.5,0.924,0.091,0.511,-5.11,1.99,A_Original
B_Base RF Model,DOGE_USDT,834,6681.81,8641.26,1959.45,47.4,0.922,0.2,0.881,-8.83,1.29,B_New
A_RSI Mean Reversion,SHIB_USDT,84,1102.2,1149.98,47.78,60.7,0.921,0.062,0.697,-3.04,1.76,A_Original
B_Keltner Channel Breakout,BNB_USDT,1054,8906.23,10690.33,1784.1,47.0,0.909,0.242,1.02,-7.64,1.29,B_New
A_Bollinger Band Reversion,ICP_USDT,715,3618.36,5219.13,1600.78,65.9,0.907,0.109,0.453,-14.08,1.22,A_Original
B_Futures Short RF Model,DOGE_USDT,727,7729.12,9716.28,1987.15,45.1,0.903,0.233,0.964,-9.06,1.32,B_New
B_Donchian Breakout,SHIB_USDT,270,3121.06,3303.41,182.35,51.1,0.884,0.165,0.851,-6.57,1.52,B_New
B_GARCH Volatility Position Sizing,SOL_USDT,684,5770.18,7861.74,2091.57,49.3,0.871,0.208,0.62,-13.33,1.22,B_New
B_Elliott Wave + Base ML,NEAR_USDT,319,3826.63,4696.27,869.65,47.6,0.866,0.154,0.536,-11.19,1.35,B_New
B_Futures Short RF Model,BNB_USDT,834,6229.65,7518.91,1289.27,51.6,0.86,0.173,0.465,-12.63,1.32,B_New
B_Elliott Wave + Base ML,XRP_USDT,356,4588.65,5244.55,655.9,46.6,0.86,0.164,0.731,-6.61,1.54,B_New
B_Elliott Wave + Base ML,DOGE_USDT,327,4463.92,5279.64,815.72,46.5,0.854,0.129,1.032,-5.38,1.49,B_New
B_Trend RF Model,ICP_USDT,444,3443.44,4640.41,1196.97,52.0,0.825,0.107,0.771,-7.92,1.27,B_New
B_GARCH Volatility Position Sizing,DOGE_USDT,763,10578.16,13148.17,2570.01,44.3,0.797,0.313,0.807,-13.8,1.34,B_New
B_Base RF Model,ADA_USDT,1012,5371.91,7635.19,2263.28,47.6,0.792,0.173,0.286,-19.22,1.17,B_New
B_Base RF Model,XRP_USDT,988,4617.5,6407.95,1790.45,45.2,0.761,0.165,0.524,-9.28,1.21,B_New
B_Futures Short RF Model,NEAR_USDT,529,4329.94,5945.51,1615.57,49.3,0.761,0.154,0.452,-14.79,1.21,B_New
B_MACD Centerline Cross + Divergence,ICP_USDT,2067,2980.67,5711.63,2730.96,49.2,0.756,0.265,0.564,-9.51,1.12,B_New
B_Base RF Model,BTC_USDT,1688,3977.52,6392.37,2414.85,42.8,0.755,0.21,0.288,-13.61,1.15,B_New
B_Keltner Channel Breakout,NEAR_USDT,710,4421.27,6254.24,1832.97,47.0,0.743,0.174,0.73,-9.32,1.18,B_New
B_Elliott Wave + Base ML,SOL_USDT,516,3376.64,4684.85,1308.21,46.9,0.74,0.154,0.475,-10.94,1.21,B_New
B_Elliott Wave + Base ML,BNB_USDT,620,6220.89,7235.72,1014.83,46.0,0.729,0.198,0.687,-8.53,1.36,B_New
B_Futures Short RF Model,AVAX_USDT,526,4117.0,5728.48,1611.48,48.1,0.713,0.165,0.381,-16.61,1.21,B_New
B_Futures Short RF Model,HBAR_USDT,676,4847.93,6657.23,1809.3,44.2,0.712,0.192,0.434,-14.21,1.21,B_New
B_Elliott Wave + Base ML,HBAR_USDT,370,3573.82,4368.26,794.44,45.7,0.711,0.121,0.351,-13.49,1.33,B_New
"B_SuperTrend (ATR×3, 10)",SOL_USDT,641,3076.25,4287.38,1211.13,41.8,0.684,0.168,0.399,-11.99,1.18,B_New
B_Keltner Channel Breakout,SOL_USDT,761,3636.36,5294.38,1658.02,46.5,0.679,0.158,0.625,-8.89,1.15,B_New
B_Futures Short RF Model,SOL_USDT,543,3094.79,4363.29,1268.5,48.6,0.677,0.122,0.298,-16.14,1.18,B_New
B_Ichimoku Cloud,AVAX_USDT,1091,4398.8,7283.5,2884.7,41.0,0.677,0.229,0.655,-10.23,1.13,B_New
B_GARCH Volatility Position Sizing,AVAX_USDT,633,3860.51,5821.95,1961.44,47.6,0.674,0.15,0.398,-15.02,1.16,B_New
B_Futures Short RF Model,LINK_USDT,722,4065.83,5839.64,1773.81,52.6,0.672,0.123,0.267,-17.91,1.16,B_New
