strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group,timeframe
B_Trend RF Model,AVAX_USDT,527,3467.65,4302.28,834.62,45.9,1.972,0.805,4.118,-3.68,1.48,B_New,1h
B_Trend RF Model,ICP_USDT,494,3880.57,4772.07,891.5,45.7,1.85,0.818,4.09,-4.04,1.52,B_New,1h
B_Trend RF Model,APT_USDT,499,3710.22,4735.87,1025.65,42.3,1.715,0.748,3.285,-4.83,1.41,B_New,1h
B_MACD Centerline Cross + Divergence,HBAR_USDT,893,2392.55,3277.63,885.08,50.6,1.654,0.622,3.28,-3.21,1.33,B_New,1h
B_Trend RF Model,SHIB_USDT,600,3234.65,3619.05,384.4,40.7,1.555,0.767,4.089,-3.4,1.47,B_New,1h
B_MACD Centerline Cross + Divergence,ICP_USDT,883,3041.13,3947.33,906.2,50.6,1.529,0.743,2.652,-4.98,1.37,B_New,1h
B_Keltner Channel Breakout,AVAX_USDT,259,2905.89,3514.6,608.71,52.5,1.476,0.381,3.61,-3.56,1.54,B_New,1h
B_Trend RF Model,NEAR_USDT,461,2565.59,3347.28,781.69,47.1,1.462,0.429,2.592,-4.33,1.34,B_New,1h
A_RSI Mean Reversion,SHIB_USDT,34,483.28,502.53,19.25,58.8,1.461,0.175,2.419,-0.92,2.66,A_Original,1h
B_Donchian Breakout,SHIB_USDT,107,2171.57,2235.4,63.83,50.5,1.432,0.407,3.999,-2.39,2.2,B_New,1h
B_Keltner Channel Breakout,ICP_USDT,260,3092.17,3702.67,610.51,46.2,1.376,0.466,2.677,-5.01,1.53,B_New,1h
B_MACD Centerline Cross + Divergence,ATOM_USDT,844,1981.72,2823.12,841.4,48.3,1.332,0.616,3.013,-2.92,1.31,B_New,1h
B_Elliott Wave + Base ML,NEAR_USDT,183,2011.18,2532.3,521.11,53.0,1.263,0.23,1.763,-5.05,1.44,B_New,1h
B_GARCH Volatility Position Sizing,HBAR_USDT,244,2742.14,3415.89,673.75,46.7,1.203,0.354,1.428,-8.39,1.43,B_New,1h
B_MACD Centerline Cross + Divergence,DOGE_USDT,2530,10226.16,13602.1,3375.94,47.7,1.198,0.679,1.496,-7.92,1.29,B_New,1h
B_Trend RF Model,DOGE_USDT,1429,11417.97,14231.97,2813.99,40.6,1.185,0.536,1.52,-8.47,1.32,B_New,1h
B_Trend RF Model,HBAR_USDT,489,3173.22,4040.53,867.31,43.1,1.179,0.4,1.57,-8.75,1.38,B_New,1h
